tweet_id,text
1529432551286349824,"#VotoPor @petrogustavo este 29 de mayo, y sus contendores sucios NO PODRAN CON NOSOTROS, SOMOS UNA NACIÓN VIVA QUE YA NO CREE EN MIEDOS https://t.co/2fQZrUL0r0"
1529442514637299712,#VotoPor el único candidato REAL de estas elecciones. @petrogustavo ❤️
1529443152259694592,#VotoPor quien respete y promueva la Libertad Religiosa
1529572795633414144,"#VotoPor #RodolfoHernandez hombre sabio, sagaz y visionario que transformará el país en potencia mundial, del atraso a ejemplo de desarrollo y crecimiento económico  #RodolfoPresidente  A los haters les digo, #RodolfoPresidente y si van a decir algo con argumentos no inventos"
1529613037866459136,#VotoPor Sergio Fajardo. Un presidente decente y que no divida es lo que necesita Colombia
1529419200221138944,"#YaEsSuficiente de campañas sucias, con engaños, insultos, calumnias."
1529466881609957378,"#YaEsSuficiente ya es suficiente de @petrogustavo , espero que perdiendo estas elecciones nos deje en paz a los colombianos con su proyecto fracasado comunista. Ya mk ya por favor 🙏🏻"
1529557684554452992,Será que esos #pseudoPeriodistas que están tan pendientes de @QuinteroCalle no se pronuncian rechazando lo que le hacen algunos padres de Colegio Alemán a su familia? @lafm 🧐   #YaEsSuficiente
1529602483055640577,"Quiero enviar un saludo a todos los ciclistas del país, que sigan haciendo deporte y que por favor sean prudentes a la hora de manejar por las vias de Colombia.  Lo digo porque Egan Bernal se dio un golpe muy fuerte en la cabeza y aún no se recupera.  #YaEsSuficiente"
1529351840772546565,@RICHENAO De hecho solo lo harían unas pocas familias a las que ud les lame el culo.  #ElDebateDefinitivo  #ElCambioEnPrimera.
1529454820427501568,"@RICHENAO @Rodrigo3edu @petrogustavo #NoEsCapazDeGobernarLaNación el eterno mitómano que jamás será presidente de los Colombianos.  #FicoPresidente2022  #ElDebateDefinitivo  Si Petro tuviese palabra hace tiempo hubiera dejado la política, porque es el N`1 ofreciéndose el desistimiento pero jamás cumple"
1529555382594682882,#VanessaPregunteleAFico quién era el secretario de seguridad de Medellín...y porqué dice que no está condenado... https://t.co/tPdPVabgDf
1529573334907768832,Ya convencí  a 10 personas #ConvenceUnoMásPorPetro
1529802418598334465,@FicoGutierrez @Rodrigo_LaraS le apuestan a:  📍 Créditos blandos para campesinos 📍 Incremento en vías terciarías 📍 Fortalecimiento de la industria nacional de insumos y fertilizante. 📍 Apoyo económico a las empresas #FicoElGanador @PartidoMIRA https://t.co/EupN1Kz04x
1529806709652340736,"Además, crear más y mejores vías que brinden garantías al campo Colombiano, que den mayor alcance a los productos que allí son producidos. #FicoElGanador @PartidoMIRA https://t.co/NjWcpGQRYw"
1529850058417618946,#FicoElGanador y con el gana Colombia.
1529918294223900693,"#FicoElGanador ""El éxito no es definitivo, el fracaso no es fatídico. Lo que cuenta es el valor para continuar"".  Winston Churchill  @FicoGutierrez el Presidente de la Gente... https://t.co/Kb1BeY7gtH"
1529933656093081636,"#MiVotoEsPorFICO  #SantandereanosConFICO porq conectará el campo triplicando la inversión en vías terciarias para que nuestros campesinos puedan sacar sus productos a los mercados #FicoElGanador Nuevo simulador de votación,eligiendo a @FicoGutierrez 📲🗳️🇨🇴 https://t.co/jAa3MQv9Iy https://t.co/rLlb9TsFLJ https://t.co/vPBR3MbJKE"
